Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore
S222,F,Novice,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,52.72,E,0.5,0.5,0.22,0.41,0.0,0.48,0.43,0.44,0.36,0.0,0.45,0.0,0.22,0.05,0.5,0.5,0.38,0.48,0.33,0.36,0.26,0.43,0.36,0.23,0.48,0.02,0.4,0.18,0.36
S223,F,-,1.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56,F,0.5,0.42,0.0,0.35,0.0,0.37,0.49,0.0,0.32,0.0,0.0,0.0,0.3,0.0,0.36,0.0,0.33,0.37,0.1,0.26,0.11,0.39,0.23,0.23,0.42,0.0,0.41,0.0,0.36
S224,M,Proficient,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,2.0,7.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,5.0,93.5,A,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.45,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5
S225,M,Novice,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,88.92,B,0.5,0.48,0.0,0.49,0.0,0.0,0.37,0.5,0.47,0.0,0.4,0.0,0.0,0.35,0.4,0.34,0.0,0.25,0.0,0.33,0.0,0.32,0.42,0.17,0.48,0.0,0.0,0.11,0.05
S226,M,-,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.36,F,0.5,0.46,0.5,0.43,0.0,0.5,0.45,0.5,0.45,0.28,0.36,0.03,0.23,0.37,0.36,0.44,0.45,0.47,0.2,0.31,0.41,0.49,0.38,0.44,0.45,0.02,0.43,0.46,0.29
S227,M,-,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,8.0,2.0,3.0,3.0,1.0,1.0,7.0,5.0,91.84,A,0.5,0.5,0.5,0.45,0.5,0.44,0.45,0.44,0.42,0.5,0.4,0.5,0.43,0.31,0.5,0.5,0.5,0.48,0.5,0.44,0.5,0.46,0.46,0.5,0.46,0.48,0.48,0.5,0.45
S228,M,Beginner,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.21,F,0.5,0.5,0.17,0.5,0.33,0.5,0.5,0.5,0.5,0.36,0.44,0.0,0.5,0.45,0.5,0.48,0.5,0.41,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.02,0.5,0.07,0.5
S229,M,Proficient,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,78.7,C,0.5,0.5,0.47,0.5,0.5,0.5,0.45,0.5,0.46,0.5,0.45,0.42,0.39,0.34,0.5,0.49,0.47,0.45,0.44,0.45,0.47,0.5,0.45,0.48,0.5,0.4,0.5,0.5,0.44
S230,M,Proficient,3.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,11.0,2.0,10.0,3.0,4.0,2.0,8.0,0.0,0.0,0.0,7.0,68.72,D,0.5,0.45,0.5,0.43,0.5,0.45,0.39,0.5,0.42,0.5,0.48,0.5,0.5,0.33,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.5,0.5,0.43
S231,M,Beginner,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,0.0,3.0,10.0,1.0,3.0,0.0,0.0,79.85,C,0.5,0.43,0.5,0.44,0.5,0.37,0.5,0.44,0.49,0.42,0.44,0.44,0.49,0.44,0.5,0.45,0.5,0.5,0.0,0.5,0.46,0.48,0.46,0.5,0.5,0.45,0.5,0.32,0.45
S232,M,Proficient,5.0,4.0,5.0,10.0,6.0,3.0,1.0,3.0,7.0,8.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,15.0,7.0,7.0,2.0,7.0,1.0,3.0,2.0,1.0,0.0,60.5,D,0.5,0.5,0.17,0.5,0.5,0.5,0.5,0.44,0.5,0.14,0.5,0.31,0.29,0.45,0.5,0.5,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5
S233,M,Proficient,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,10.0,3.0,2.0,4.0,2.0,9.0,11.0,98.5,A,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.37,0.5,0.41,0.5,0.39,0.44,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.42,0.43,0.5,0.49,0.5,0.45,0.5,0.42
S234,F,Expert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,F,0.5,0.5,0.31,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.31,0.43,0.41,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.46,0.37,0.5,0.5,0.5,0.5,0.5,0.5
S235,M,Novice,6.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,96.46,A,0.5,0.5,0.5,0.49,0.33,0.49,0.5,0.5,0.5,0.28,0.44,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.48,0.5,0.4
S236,M,Novice,1.0,1.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,F,0.5,0.24,0.5,0.5,0.5,0.5,0.49,0.5,0.44,0.5,0.45,0.5,0.45,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.5,0.5,0.5,0.5,0.45
S237,F,Proficient,7.0,14.0,5.0,4.0,4.0,14.0,6.0,4.0,7.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,6.0,6.0,6.0,3.0,12.0,7.0,10.0,2.0,2.0,1.0,2.0,77.9,C,0.5,0.5,0.28,0.5,0.35,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49
S238,F,Proficient,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,100.5,A,0.5,0.5,0.5,0.5,0.5,0.48,0.49,0.5,0.44,0.5,0.43,0.5,0.5,0.49,0.5,0.49,0.5,0.43,0.5,0.48,0.5,0.42,0.48,0.5,0.48,0.5,0.4,0.5,0.44
S239,M,Beginner,3.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,42.53,F,0.5,0.49,0.0,0.27,0.0,0.17,0.05,0.17,0.32,0.0,0.15,0.0,0.11,0.04,0.4,0.41,0.09,0.34,0.33,0.43,0.0,0.14,0.34,0.19,0.46,0.0,0.36,0.32,0.27
S240,M,Beginner,1.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.66,E,0.5,0.5,0.5,0.48,0.5,0.48,0.5,0.5,0.46,0.5,0.5,0.5,0.4,0.37,0.5,0.5,0.5,0.46,0.5,0.4,0.5,0.45,0.49,0.5,0.5,0.0,0.45,0.5,0.45
S241,F,Intermediate,5.0,6.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,8.0,1.0,2.0,6.0,1.0,2.0,7.0,96.5,A,0.5,0.5,0.5,0.48,0.5,0.48,0.36,0.5,0.44,0.42,0.48,0.5,0.49,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.45,0.48,0.48,0.5,0.5,0.5,0.5,0.4
S242,M,Proficient,2.0,5.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,5.0,5.0,3.0,2.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,96.5,A,0.5,0.5,0.22,0.4,0.5,0.48,0.5,0.44,0.43,0.12,0.48,0.0,0.43,0.32,0.5,0.5,0.41,0.49,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.27,0.5
S243,M,Novice,1.0,3.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,14.0,1.0,6.0,4.0,11.0,2.0,1.0,1.0,3.0,1.0,0.0,91.4,A,0.5,0.5,0.28,0.48,0.12,0.46,0.5,0.5,0.5,0.5,0.39,0.31,0.36,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.47,0.33,0.5,0.25,0.47
S245,M,Beginner,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17,F,0.5,0.49,0.5,0.48,0.5,0.41,0.5,0.5,0.4,0.5,0.49,0.5,0.49,0.46,0.5,0.48,0.5,0.48,0.5,0.48,0.5,0.49,0.45,0.5,0.5,0.5,0.48,0.5,0.4
S246,M,Intermediate,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,81.89,B,0.5,0.5,0.0,0.41,0.33,0.46,0.43,0.5,0.41,0.0,0.4,0.06,0.24,0.19,0.5,0.49,0.34,0.33,0.33,0.39,0.41,0.44,0.43,0.46,0.43,0.31,0.46,0.5,0.45
S247,M,Intermediate,10.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0,7.0,2.0,1.0,5.0,6.0,2.0,4.0,2.0,8.0,70.87,C,0.5,0.5,0.22,0.46,0.5,0.49,0.5,0.5,0.49,0.5,0.46,0.17,0.46,0.42,0.5,0.5,0.5,0.48,0.35,0.45,0.47,0.5,0.37,0.44,0.35,0.33,0.36,0.5,0.38
S248,F,Novice,6.0,7.0,5.0,7.0,5.0,3.0,2.0,7.0,9.0,5.0,3.0,4.0,5.0,6.0,4.0,1.0,1.0,1.0,7.0,3.0,3.0,13.0,6.0,7.0,1.0,3.0,9.0,9.0,6.0,90.2,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28,0.5,0.5,0.5,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S249,M,Intermediate,1.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,4.0,3.0,7.0,7.0,13.0,8.0,2.0,0.0,87.57,B,0.5,0.47,0.5,0.39,0.5,0.48,0.45,0.44,0.43,0.38,0.44,0.0,0.28,0.39,0.5,0.46,0.5,0.45,0.5,0.43,0.5,0.42,0.5,0.5,0.5,0.5,0.41,0.5,0.4
S250,M,Proficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,13.0,4.0,6.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,85.5,B,0.5,0.5,0.28,0.39,0.0,0.33,0.36,0.0,0.32,0.0,0.39,0.0,0.0,0.0,0.5,0.5,0.5,0.41,0.5,0.45,0.5,0.37,0.39,0.5,0.49,0.24,0.4,0.0,0.22
S251,M,Novice,3.0,6.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,92.59,A,0.5,0.5,0.22,0.47,0.5,0.41,0.45,0.44,0.45,0.33,0.5,0.5,0.47,0.33,0.5,0.5,0.5,0.48,0.5,0.48,0.49,0.4,0.35,0.48,0.5,0.33,0.48,0.5,0.44
S252,F,Novice,1.0,4.0,8.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,57.62,E,0.5,0.48,0.0,0.45,0.17,0.5,0.45,0.5,0.49,0.0,0.43,0.0,0.5,0.5,0.5,0.48,0.5,0.44,0.5,0.5,0.5,0.45,0.49,0.5,0.45,0.14,0.43,0.5,0.4
S253,M,Proficient,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,13.0,1.0,3.0,6.0,4.0,2.0,7.0,3.0,5.0,4.0,3.0,97.0,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S254,M,Expert,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,12.0,0.0,8.0,3.0,1.0,2.0,38.0,14.0,90.67,A,0.5,0.5,0.5,0.28,0.5,0.36,0.33,0.5,0.27,0.44,0.45,0.5,0.18,0.0,0.25,0.04,0.5,0.44,0.5,0.38,0.5,0.39,0.36,0.5,0.48,0.0,0.0,0.5,0.37
S255,F,Intermediate,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,9.0,5.0,5.0,11.0,6.0,2.0,0.0,5.0,81.89,B,0.5,0.5,0.5,0.5,0.5,0.45,0.43,0.5,0.5,0.42,0.45,0.33,0.4,0.4,0.5,0.5,0.5,0.45,0.44,0.43,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.44
S256,M,Intermediate,3.0,10.0,8.0,7.0,3.0,4.0,2.0,3.0,7.0,1.0,1.0,2.0,8.0,5.0,3.0,1.0,1.0,1.0,12.0,9.0,21.0,6.0,21.0,6.0,5.0,3.0,5.0,2.0,2.0,95.6,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.49,0.45,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S257,F,Beginner,4.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,9.0,18.0,0.0,5.0,2.0,1.0,61.27,D,0.5,0.5,0.03,0.36,0.0,0.0,0.49,0.5,0.47,0.5,0.48,0.25,0.47,0.0,0.5,0.5,0.0,0.3,0.5,0.33,0.32,0.42,0.36,0.5,0.44,0.33,0.5,0.5,0.47
S258,M,Proficient,4.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,15.0,9.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,92.79,A,0.5,0.5,0.5,0.48,0.5,0.47,0.5,0.5,0.5,0.5,0.49,0.5,0.38,0.37,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.44
S259,M,Intermediate,8.0,5.0,2.0,8.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,9.0,20.0,11.0,13.0,3.0,14.0,4.0,10.0,1.0,6.0,8.0,3.0,99.14,A,0.5,0.5,0.28,0.3,0.24,0.45,0.43,0.5,0.35,0.0,0.4,0.5,0.41,0.33,0.5,0.5,0.5,0.41,0.45,0.5,0.5,0.5,0.4,0.5,0.5,0.31,0.5,0.5,0.46
S260,M,Expert,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,101.0,A,0.5,0.5,0.5,0.49,0.5,0.48,0.5,0.44,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S261,M,-,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,62.48,D,0.5,0.5,0.0,0.45,0.0,0.49,0.5,0.28,0.47,0.0,0.42,0.12,0.5,0.45,0.5,0.41,0.32,0.41,0.0,0.4,0.34,0.17,0.48,0.5,0.44,0.0,0.5,0.5,0.45
S262,F,Proficient,7.0,5.0,4.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,7.0,3.0,4.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,72.85,C,0.5,0.5,0.5,0.45,0.33,0.4,0.45,0.44,0.4,0.28,0.43,0.0,0.45,0.34,0.5,0.5,0.38,0.48,0.33,0.49,0.5,0.45,0.44,0.5,0.48,0.33,0.45,0.32,0.49
S263,F,Beginner,3.0,4.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,59.68,E,0.5,0.5,0.31,0.48,0.5,0.47,0.49,0.5,0.46,0.0,0.43,0.5,0.38,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.5,0.5,0.5,0.5,0.48
S264,M,Expert,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,100.0,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.11,0.5,0.5,0.5,0.46,0.5,0.45,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S265,M,Proficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,12.0,5.0,4.0,2.0,1.0,1.0,2.0,102.0,A,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.5,0.45,0.5,0.43,0.37,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.49,0.5,0.5,0.5,0.48,0.5,0.48
S266,F,Intermediate,3.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,7.0,5.0,4.0,17.0,5.0,4.0,2.0,2.0,2.0,6.0,101.0,A,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.49,0.5,0.5,0.5,0.47,0.5,0.48,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.48
S267,M,-,1.0,5.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,72.98,C,0.5,0.5,0.5,0.5,0.5,0.32,0.5,0.0,0.48,0.5,0.05,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.5,0.5,0.38,0.4,0.5,0.48
S268,F,Novice,8.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,60.39,D,0.5,0.43,0.5,0.4,0.0,0.0,0.44,0.5,0.5,0.5,0.46,0.0,0.0,0.0,0.5,0.5,0.34,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48
S269,F,Beginner,3.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,53.47,E,0.5,0.5,0.33,0.5,0.0,0.3,0.48,0.5,0.37,0.0,0.5,0.25,0.24,0.42,0.5,0.49,0.36,0.5,0.33,0.45,0.5,0.36,0.15,0.21,0.5,0.36,0.5,0.21,0.4
S271,M,-,2.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,67.68,D,0.5,0.5,0.22,0.32,0.4,0.0,0.38,0.5,0.38,0.31,0.29,0.31,0.21,0.25,0.5,0.41,0.48,0.48,0.5,0.4,0.5,0.45,0.4,0.5,0.43,0.33,0.38,0.43,0.42
S272,F,Beginner,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,10.0,5.0,8.0,6.0,4.0,1.0,2.0,1.0,98.6,A,0.5,0.5,0.5,0.43,0.5,0.44,0.45,0.5,0.5,0.5,0.46,0.5,0.48,0.45,0.5,0.5,0.5,0.5,0.5,0.45,0.47,0.5,0.45,0.5,0.5,0.5,0.45,0.5,0.45
S273,F,Intermediate,6.0,5.0,10.0,12.0,6.0,6.0,5.0,3.0,12.0,9.0,1.0,6.0,20.0,10.0,3.0,2.0,3.0,2.0,13.0,9.0,5.0,7.0,8.0,8.0,14.0,13.0,7.0,4.0,8.0,63.5,D,0.5,0.5,0.44,0.5,0.5,0.49,0.47,0.44,0.5,0.12,0.5,0.17,0.32,0.0,0.5,0.5,0.48,0.45,0.5,0.49,0.47,0.5,0.5,0.5,0.5,0.45,0.48,0.5,0.5
S274,F,Intermediate,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,5.0,0.0,3.0,65.4,D,0.5,0.46,0.19,0.44,0.0,0.39,0.44,0.5,0.44,0.36,0.43,0.5,0.38,0.39,0.47,0.47,0.36,0.48,0.5,0.48,0.47,0.47,0.48,0.25,0.48,0.33,0.4,0.0,0.44
S275,M,Proficient,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,7.0,0.0,2.0,0.0,0.0,58.28,E,0.5,0.5,0.22,0.5,0.3,0.39,0.45,0.44,0.4,0.0,0.34,0.0,0.0,0.0,0.47,0.48,0.23,0.5,0.45,0.5,0.5,0.39,0.38,0.0,0.0,0.17,0.46,0.5,0.42
S277,F,Intermediate,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,12.0,4.0,1.0,6.0,7.0,7.0,17.0,7.0,2.0,3.0,2.0,78.84,C,0.5,0.43,0.5,0.45,0.5,0.45,0.41,0.5,0.46,0.5,0.4,0.31,0.4,0.32,0.5,0.43,0.5,0.46,0.5,0.45,0.5,0.44,0.45,0.5,0.5,0.48,0.45,0.5,0.45
