Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore,Sum1,Sum2
S073,M,Intermediate,2,3,6,2,4,2,2,3,5,3,3,3,3,1,3,1,3,3,3,1,11,8,6,5,5,5,2,2,5,83.6,B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.48,0,0.38,0.42,0.5,0.42,0.5,0.5,0.5,0.5,0,0.44,0.5,0.5,0.43,0.48,0.5,0.38,0.5,0.5,0.5,105,12.87
S074,F,Intermediate,2,5,6,4,3,3,2,2,3,3,2,3,2,2,2,1,1,1,11,15,10,5,3,10,5,2,3,1,5,91.2,A,0.5,0.46,0.5,0.5,0.41,0.46,0.45,0.5,0.44,0,0.49,0.42,0.48,0.4,0.5,0.42,0.47,0.35,0.5,0.48,0.5,0.49,0.44,0.5,0.5,0.33,0.5,0.41,0.37,117,12.77
S075,M,Expert,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,4,4,7,1,4,3,5,4,3,97.15,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.47,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,57,14.45
S076,M,Proficient,4,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,2,1,4,3,2,6,1,16,5,0,2,0,8,70.37,C,0.5,0.5,0.5,0.48,0,0.5,0.32,0.5,0.48,0,0.37,0.5,0.31,0.24,0.5,0.48,0.5,0.45,0.5,0.41,0.3,0.48,0.4,0.48,0.48,0.5,0.5,0.32,0.39,64,11.89
S077,F,Novice,3,4,2,4,3,1,1,3,2,2,1,1,1,3,1,1,2,2,5,1,4,4,0,0,3,0,0,0,0,61.3,D,0.5,0.5,0.22,0.5,0,0.47,0.4,0.5,0.45,0,0.44,0,0.45,0.41,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.49,0.5,0.45,0,0.4,54,11.57
S079,M,Proficient,1,3,3,4,1,0,2,1,1,0,0,0,0,0,0,0,3,2,4,7,9,0,2,1,0,0,0,0,0,40.78,F,0.5,0.5,0,0.5,0,0.43,0.38,0,0.42,0.42,0.45,0,0.44,0.35,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.48,0,0.5,0.33,0.44,0.11,0.4,44,10.63
S080,F,Proficient,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,9,4,8,7,0,0,0,0,0,0,0,0,7.32,F,0.5,0.5,0.5,0.45,0.5,0.43,0.5,0.5,0.45,0.44,0.46,0.03,0.32,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.48,0.5,0.5,0.5,0.35,42,13.27
S081,M,Intermediate,5,2,3,2,3,1,1,3,1,2,1,1,1,1,1,2,1,1,3,1,4,2,8,3,8,1,4,1,1,87.66,B,0.5,0.48,0.5,0.41,0.5,0.4,0.41,0.5,0.38,0.5,0.4,0.42,0.47,0.28,0.5,0.5,0.47,0.4,0.5,0.45,0.5,0.37,0.41,0.5,0.5,0.45,0.33,0.5,0.4,68,12.93
S082,M,-,3,3,2,1,0,1,2,2,2,5,1,1,2,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,18.99,F,0.5,0.5,0.5,0.45,0.5,0.49,0.5,0.44,0.5,0.28,0.45,0.28,0.5,0,0.5,0.48,0.39,0.45,0.33,0.43,0.29,0.48,0.49,0.5,0.5,0.33,0.48,0.21,0.43,34,12.18
S083,M,Intermediate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,F,0.5,0.5,0.19,0.41,0,0.4,0,0.5,0.5,0.28,0.47,0.31,0.24,0.37,0.5,0.5,0.5,0.38,0.27,0.35,0.25,0.45,0.42,0.48,0.5,0.5,0.41,0.29,0.45,1,10.92
S084,F,Proficient,4,4,2,5,3,4,4,3,2,1,1,2,1,4,1,0,1,2,10,2,8,14,16,7,3,2,2,7,0,61.1,D,0.5,0.5,0.42,0.5,0.15,0.5,0.5,0.5,0.5,0.25,0.5,0,0.26,0,0.5,0.48,0.5,0.45,0.5,0.5,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,115,12.45
S085,M,Intermediate,1,0,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,0,1,3,8,6,17,4,18,1,3,2,0,94.15,A,0.5,0.5,0.5,0.48,0.5,0.45,0.41,0.44,0.47,0.28,0.44,0,0.49,0.37,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,81,13.3
S086,M,-,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,0,1,3,7,4,2,2,2,6,2,88.12,B,0.5,0.46,0.5,0.5,0.5,0.49,0.45,0.5,0.41,0.5,0.46,0.5,0.5,0,0.5,0.5,0.5,0.45,0.43,0.48,0.5,0.47,0.44,0.5,0.5,0.5,0.5,0.5,0.46,56,13.5
S087,F,Beginner,1,3,1,1,3,2,1,2,1,1,1,1,1,5,3,1,2,1,2,2,8,1,2,3,4,7,4,2,7,74.5,C,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,73,14.5
S088,M,Proficient,4,3,3,2,2,1,3,3,1,4,1,1,1,0,1,0,9,10,4,2,1,3,7,18,2,0,0,0,0,48.27,F,0.5,0.5,0.5,0.46,0.5,0.47,0.5,0.44,0.46,0.28,0.37,0.44,0,0,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.48,0.37,0.5,0.5,0.5,0.5,0.5,0.49,86,12.73
S089,M,-,0,0,3,2,1,1,1,1,1,1,1,2,2,1,1,0,1,1,4,13,4,8,4,0,4,10,5,1,5,85.13,B,0.5,0.5,0.5,0.45,0.5,0.43,0.47,0.5,0.47,0,0.45,0.46,0.45,0.25,0.5,0.5,0.48,0.5,0.5,0.45,0.5,0.42,0.5,0.48,0.5,0.38,0.48,0.5,0.45,78,13.07
S090,M,Expert,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,6,3,9,3,3,4,6,4,4,97.95,A,0.5,0.5,0.5,0.4,0.5,0.5,0.48,0.5,0.45,0.5,0.45,0.47,0.4,0.42,0.5,0.5,0.5,0.41,0.5,0.45,0.5,0.42,0.45,0.5,0.48,0.5,0.5,0.5,0.41,71,13.69
S091,M,Intermediate,6,2,3,0,2,2,4,2,4,1,2,2,1,1,2,1,1,2,13,0,5,13,6,9,9,7,5,3,4,89.2,B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.5,0.49,0.5,0.5,0.44,0.5,0.5,0.5,0.5,0.3,0.34,0.5,0.45,0.43,0.5,0.5,0.5,0.5,0.5,0.49,112,13.9
S092,M,Intermediate,1,0,3,2,1,1,1,1,2,1,1,1,1,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,0,85.66,B,0.5,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.45,0.45,0.5,0.49,0.45,0,0,0,0,0,0.05,26,3.81
S094,M,-,13,1,3,4,3,1,1,1,0,0,0,0,0,0,0,0,4,3,9,5,0,0,0,0,0,0,0,0,0,18.26,F,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.43,0.39,0.43,0.31,0.42,0.43,0.5,0.48,0.36,0.45,0.5,0.48,0.43,0.45,0.46,0.5,0.5,0.45,0.48,0.5,0.4,48,13.3
S095,M,Beginner,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,F,0,0.43,0,0.45,0.5,0.5,0.47,0.5,0.49,0.5,0.43,0.28,0.38,0.42,0,0.39,0,0.43,0.1,0.34,0.29,0.43,0.35,0.12,0.48,0.07,0.5,0.29,0.3,4,9.44
S097,F,Novice,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,0,0,1,0,1,62.87,D,0.5,0.49,0.39,0.46,0.5,0.49,0.45,0.5,0.43,0.5,0.45,0.31,0.49,0.23,0.5,0.5,0.5,0.48,0.5,0.44,0.47,0.5,0.5,0.48,0.5,0.33,0.43,0.32,0.5,32,13.14
S098,M,Intermediate,4,4,3,5,2,5,2,1,2,1,3,2,2,2,2,1,1,2,2,2,7,5,5,4,3,3,1,3,3,102.1,A,0.5,0.5,0.28,0.45,0.5,0.46,0.5,0.5,0.45,0.5,0.4,0.5,0.46,0.36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.49,0.5,0.5,0.5,0.5,0.5,0.36,82,13.64
S099,F,Proficient,2,2,3,2,3,2,1,1,2,1,1,1,1,1,1,1,1,3,2,1,2,2,11,2,1,3,1,2,1,103.5,A,0.5,0.5,0.5,0.5,0.5,0.45,0.48,0.5,0.49,0.5,0.37,0.5,0.45,0.46,0.5,0.5,0.5,0.5,0.5,0.48,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,57,14.13
S100,M,Proficient,3,1,2,2,3,1,3,1,1,1,1,2,2,1,1,1,2,1,13,1,1,2,8,1,5,4,19,5,4,99,A,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.45,0.5,0.49,0.5,0.49,0.44,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.46,92,14.28
S101,M,Proficient,1,1,3,1,1,1,1,2,1,1,1,0,1,0,0,0,1,1,2,1,5,0,1,2,3,0,1,2,0,59.14,E,0.5,0.5,0.19,0.45,0,0.39,0.33,0.44,0.4,0.28,0.39,0.06,0.25,0.26,0.5,0.48,0.5,0.5,0.33,0.45,0.5,0.47,0.49,0.44,0.48,0.31,0.45,0.23,0.42,34,10.99
S102,M,-,1,1,2,2,0,1,0,0,1,1,1,1,1,0,1,0,2,1,12,3,0,4,15,0,9,0,0,0,24,89.95,B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,83,14.5
S103,F,Novice,3,6,3,7,4,4,2,3,4,4,2,1,1,2,2,1,1,1,7,1,4,4,8,7,5,4,1,2,0,91.9,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,94,14.39
S104,F,Novice,2,2,3,2,2,3,1,2,2,1,1,1,2,2,3,1,1,1,1,1,1,3,2,3,4,1,1,0,1,86.7,B,0.5,0.5,0.33,0.48,0.35,0.5,0.45,0.5,0.48,0.28,0.49,0.33,0.5,0.45,0.5,0.48,0.5,0.47,0.5,0.47,0.42,0.45,0.5,0.48,0.5,0.24,0.5,0.5,0.48,50,13.13
S105,M,Proficient,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,100,A,0.5,0.5,0.5,0.35,0.5,0.45,0.5,0.39,0.5,0,0.44,0,0.36,0.23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.45,0.21,0.5,8,11.88
S106,M,-,5,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2.73,F,0.5,0.5,0,0.24,0,0.11,0.33,0.44,0.43,0,0,0,0.3,0.19,0.5,0.45,0.39,0.45,0.5,0.5,0.5,0.45,0.49,0.5,0.49,0.5,0.45,0.18,0.39,24,9.78
S107,M,Intermediate,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,4,0,1,0,3,1,3,0,0,2,3,0,86.37,B,0.5,0.48,0.42,0.5,0.4,0.46,0.49,0.5,0.39,0.5,0.34,0,0,0,0.5,0.44,0.29,0.3,0.37,0.43,0.41,0.48,0.48,0.5,0.45,0.48,0.45,0.5,0.44,33,11.5
S108,M,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,7,1,8,1,6,1,3,0,7,3,0,95.47,A,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.49,0.5,0.49,0.31,0.3,0.34,0.5,0.5,0.5,0.42,0.5,0.48,0.5,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,53,13.76
S109,M,Intermediate,3,3,1,1,1,1,4,0,0,0,0,0,1,1,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,68.57,D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24,14.5
S110,F,Intermediate,3,3,4,2,3,6,2,8,10,4,4,2,5,1,3,2,1,4,5,3,5,5,16,6,0,0,4,8,8,92.3,A,0.5,0.5,0,0.42,0,0.43,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.42,0.5,0.49,0.5,0.48,0.5,0.48,0.5,0.45,0.49,0.5,0.5,0.5,0.5,0.48,0.43,127,13.04
S113,M,Intermediate,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,3,5,1,1,2,1,4,10,98.44,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.45,0.5,0.4,0.42,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,52,14.21
S114,F,Intermediate,6,12,5,5,10,3,1,3,4,1,4,2,5,5,4,2,1,1,13,1,1,9,2,7,5,1,4,9,2,93.8,A,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.48,0.5,0.5,0.5,0.46,0.5,128,14.4
S115,M,Proficient,3,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,5,7,1,2,1,0,0,0,0,0,0,32.37,F,0.5,0.47,0,0.29,0,0.31,0,0,0.24,0.28,0,0,0,0.16,0.5,0.49,0.5,0.43,0.5,0.44,0.31,0.41,0.4,0.48,0.49,0.02,0.43,0,0.33,29,7.98
S116,F,Intermediate,3,2,4,1,4,1,2,2,1,1,1,1,3,1,1,1,2,1,5,2,2,1,2,2,5,1,2,1,1,70.21,C,0.5,0.5,0.19,0.48,0,0.44,0.43,0.44,0.4,0.5,0.5,0.17,0.49,0.41,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.38,0.41,0.19,0.5,0.4,0.5,0.36,0.48,56,12.16
S117,F,Intermediate,2,4,2,4,3,3,2,1,3,2,1,1,1,1,3,1,1,1,3,1,5,13,20,2,4,7,6,2,17,98.24,A,0.5,0.5,0.5,0.5,0.44,0.5,0.43,0.5,0.44,0.5,0.41,0.5,0.38,0.32,0.5,0.49,0.5,0.44,0.5,0.5,0.5,0.44,0.4,0.5,0.48,0.5,0.43,0.5,0.47,116,13.57
S118,M,Intermediate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.94,F,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.44,0.5,0,0.5,0.31,0.37,0.5,0.48,0.5,0.5,0.5,0.33,0.5,0.5,0.5,0.49,0,0.43,0.48,0.5,0.5,0.5,3,12.76
S119,M,-,5,2,3,2,2,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,60.18,D,0.5,0.5,0.19,0.46,0.2,0.46,0.37,0,0.33,0,0.48,0,0.42,0.29,0.5,0.45,0.41,0.24,0.1,0.43,0,0.32,0.42,0.48,0.46,0,0.4,0.23,0.34,45,8.98
S120,F,Beginner,6,0,3,5,7,0,5,5,7,6,6,5,7,2,3,3,0,0,1,1,1,2,5,1,3,0,1,2,4,92.78,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,91,14.5
S121,M,Proficient,7,3,9,3,4,1,1,3,2,1,1,2,4,2,1,1,1,1,2,4,11,4,3,5,6,4,3,0,0,90.29,A,0.5,0.5,0.5,0.43,0.5,0.37,0.37,0.5,0.42,0.22,0.44,0,0.26,0.02,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.49,0.48,0.48,0.5,0.4,0.45,0.39,0.47,89,12.15
S122,F,Beginner,1,1,6,1,5,2,1,1,1,1,1,1,2,5,2,2,1,1,1,4,3,3,1,6,3,1,1,2,3,93.5,A,0.5,0.49,0.5,0.46,0.5,0.5,0.5,0.44,0.49,0.5,0.4,0.5,0.5,0.05,0.5,0.46,0.5,0.46,0.5,0.45,0.47,0.48,0.44,0.48,0.49,0,0.5,0.48,0.49,63,13.03
S123,F,Proficient,2,2,2,1,1,1,1,1,1,2,1,3,0,1,1,1,1,1,2,1,3,2,1,3,5,1,0,1,1,61.67,D,0.5,0.45,0.22,0.4,0.06,0.4,0.5,0.5,0.5,0.28,0.5,0.17,0.48,0.5,0.5,0.48,0.36,0.5,0.5,0.38,0.5,0.44,0.43,0.48,0.5,0.02,0.5,0.32,0.45,43,11.82
S124,M,Expert,3,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,21,10,22,36,12,0,0,0,0,0,0,0,0,0.98,F,0.5,0.5,0.14,0.5,0.33,0.5,0.5,0.44,0.46,0,0.5,0,0.23,0.35,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.33,0.5,0,0.49,115,11.72
S126,M,Expert,2,3,3,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,3,1,3,2,5,2,3,1,1,0,0,85.89,B,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.36,0.5,0.5,0.45,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,49,14.26
S127,M,Novice,3,7,14,5,12,1,2,1,3,1,1,1,2,2,1,1,4,4,16,4,14,13,3,16,3,3,2,0,0,63.43,D,0.5,0.41,0.28,0.36,0.15,0.3,0.45,0.5,0.34,0,0.4,0,0.38,0.33,0.5,0.33,0.16,0.35,0.45,0.49,0.5,0.45,0.4,0.5,0.41,0.24,0.41,0,0.34,139,9.93
S128,F,Proficient,2,4,3,3,3,2,1,1,2,2,2,1,1,1,0,0,2,3,9,7,13,8,18,7,10,1,5,0,0,58.77,E,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.44,0.5,0.36,0.5,0.38,0.49,0.5,0.5,0.5,0.39,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.5,111,14.02
S129,M,Proficient,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,21,4,5,2,3,1,3,2,0,71.57,C,0.5,0.5,0.5,0.46,0.5,0.47,0.5,0.5,0.41,0.5,0.45,0.38,0.45,0.22,0.5,0.48,0.5,0.49,0.5,0.48,0.5,0.42,0.48,0.5,0.45,0.5,0.48,0.5,0.4,66,13.52
S130,M,Intermediate,4,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,5,2,10,2,8,6,5,2,3,6,12,90.85,A,0.5,0.5,0.5,0.48,0.5,0.46,0.44,0.5,0.44,0.25,0.44,0.5,0.46,0.44,0.5,0.5,0.5,0.45,0.5,0.48,0.5,0.49,0.46,0.5,0.5,0.5,0.5,0.5,0.44,86,13.73
S131,M,Beginner,1,6,5,2,1,2,1,2,1,1,0,0,1,0,1,0,2,1,1,1,1,2,1,0,1,0,1,0,0,73.95,C,0.5,0.48,0.19,0.3,0,0.22,0.24,0.44,0.29,0,0.17,0,0.21,0.05,0.36,0.48,0.36,0.5,0.5,0.38,0.31,0.34,0.36,0.48,0.5,0.31,0.48,0,0.4,35,8.85
S132,F,Intermediate,4,6,4,9,6,8,6,11,15,7,8,3,4,4,6,3,1,2,7,4,13,2,8,11,16,5,3,2,26,59.86,E,0.5,0.5,0.06,0.41,0.15,0.37,0.41,0,0.15,0,0.3,0.17,0.4,0.35,0.5,0.5,0.22,0.24,0.21,0.43,0.13,0.4,0.35,0.17,0.43,0.21,0.38,0.2,0.42,204,8.56
S133,F,Intermediate,2,2,2,3,1,2,1,1,1,2,2,1,5,1,3,0,1,1,1,1,6,4,4,8,6,1,8,9,1,99.5,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,80,14.43
S134,F,Beginner,12,2,2,1,1,2,1,2,1,1,1,2,1,2,3,1,4,5,3,2,7,6,9,6,6,9,2,2,1,61.02,D,0.5,0.5,0.5,0.41,0.5,0.48,0.45,0.5,0.46,0.5,0.4,0.5,0.42,0.42,0.5,0.5,0.33,0.44,0.5,0.43,0.5,0.43,0.45,0.5,0.48,0.5,0.41,0.5,0.35,97,13.36
S135,F,Intermediate,3,5,5,2,1,1,5,2,1,1,1,1,1,0,1,1,1,6,1,0,0,1,1,1,3,1,2,0,1,76.73,C,0.5,0.5,0.36,0.35,0.15,0.39,0.33,0.44,0.32,0,0,0.5,0.4,0.42,0.5,0.5,0.5,0.5,0,0,0,0,0.31,0.06,0.5,0.36,0.29,0,0.24,49,8.42
S136,F,Proficient,4,2,6,6,5,1,1,4,2,2,3,1,1,2,2,1,1,1,2,2,2,4,3,2,2,7,6,0,1,84.17,B,0.5,0.5,0.33,0.45,0.33,0.44,0.43,0.5,0.47,0.28,0.41,0.31,0.4,0.39,0.5,0.49,0.41,0.5,0.38,0.48,0.43,0.5,0.38,0.44,0.5,0.33,0.5,0.5,0.33,76,12.41
S137,M,Proficient,2,2,0,1,2,5,3,3,3,3,2,2,1,1,1,1,2,1,0,4,0,6,19,0,2,0,10,29,76,85.98,B,0.5,0.5,0,0.4,0,0.07,0.39,0.5,0.46,0.5,0.35,0.5,0.5,0.26,0.5,0.5,0.39,0.35,0.5,0.43,0.32,0.31,0.49,0.5,0.5,0.5,0.5,0,0.36,181,11.08
S138,M,Proficient,1,4,4,5,5,1,1,4,1,1,1,1,1,2,1,1,2,2,3,4,4,3,4,3,2,1,2,3,5,98.5,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.47,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,72,14.34
S140,M,Proficient,1,2,1,1,1,0,1,1,2,0,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,4,3,95.9,A,0.5,0.5,0,0,0.5,0.39,0.49,0.44,0.39,0.5,0.46,0.21,0.39,0.36,0.5,0.48,0.5,0.42,0.5,0.48,0.5,0.45,0.28,0.48,0.33,0.38,0.31,0.27,0.29,38,11.3
S141,M,Proficient,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,7,5,10,10,13,1,6,10,1,2,1,100,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.49,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.49,90,14.25
S142,M,Proficient,2,1,1,2,3,1,2,2,1,1,1,1,2,1,1,1,1,8,4,4,5,3,17,3,8,4,2,4,13,75.79,C,0.5,0.48,0.5,0.5,0.47,0.5,0.45,0.5,0.45,0.38,0.38,0.47,0.37,0.4,0.5,0.41,0.5,0.4,0.33,0.45,0.5,0.49,0.4,0.5,0.45,0.5,0.44,0.5,0.41,99,13.13
S143,M,-,1,2,1,1,1,1,1,1,0,1,1,2,2,2,2,1,3,2,3,1,5,4,8,13,7,7,2,9,8,95.35,A,0.5,0.46,0.5,0.43,0.5,0.39,0.38,0.5,0.44,0.5,0.35,0.5,0.4,0,0.5,0.35,0.5,0.38,0.5,0.48,0.5,0.44,0.42,0.5,0.49,0.48,0.47,0.5,0,92,12.36
S144,M,Proficient,5,2,2,1,1,1,1,3,2,2,1,1,1,1,1,1,2,3,3,7,5,2,4,1,2,1,2,5,1,99.4,A,0.5,0.5,0.5,0.45,0.5,0.46,0.46,0.5,0.45,0.5,0.48,0.5,0.45,0.47,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.5,0.48,0.5,0.44,64,14.11
S145,F,Proficient,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,3,1,2,6,4,3,2,1,4,1,3,1,3,97.02,A,0.5,0.45,0.5,0.38,0.5,0.4,0.44,0.44,0.32,0.25,0.48,0.46,0.48,0.32,0.38,0.44,0.38,0.4,0.5,0.48,0.5,0.48,0.49,0.5,0.48,0.45,0.4,0.5,0.41,55,12.71
S146,F,Novice,2,1,1,2,4,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,3,4,3,1,3,2,2,3,5,99.4,A,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.45,0.5,0.49,0.5,0.5,0,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,55,13.84
S147,M,-,2,2,3,1,4,2,1,2,2,2,13,0,0,0,0,0,3,1,6,7,3,8,2,10,0,0,0,0,0,23.62,F,0.5,0.38,0.5,0.39,0.5,0.45,0.49,0.5,0.5,0.36,0.41,0.5,0.34,0,0.5,0.46,0.5,0.41,0.5,0.43,0.5,0.36,0.48,0.5,0.49,0.5,0.5,0.5,0.4,74,12.85
S148,F,Novice,2,3,2,3,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,6,2,6,2,2,0,0,80.3,B,0.5,0.5,0.5,0.38,0.5,0.48,0.45,0.44,0.5,0,0.46,0,0.5,0.5,0.48,0.36,0.45,0.41,0.5,0.44,0.47,0.43,0.5,0.48,0.5,0.5,0.5,0.5,0.41,54,12.64
